"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Fragile State Index"
"Antigua and Barbuda","2017","131st","54.8","5.7","3.7","3.9","4.5","4.5","6.8","5.4","3.8","4.4","4.1","2.7","5.3","Stable"
"Bulgaria","2017","132nd","53.7","4.3","5.3","5.1","5.7","4.4","4.2","4.5","4.4","3.3","3.7","4.5","4.3","Stable"
"Oman","2017","133rd","52.5","4.2","6.6","2.9","4.1","4.6","2.5","6.8","3.5","7.7","4.8","2.5","2.3","Stable"
"Bahamas","2017","134th","52.4","4.6","4.5","4.1","4.8","4.5","4.7","3.8","4.6","3.6","6.9","2.6","3.7","Stable"
"Hungary","2017","135th","52","2.7","5.3","4.8","5.4","3.8","3.3","6.1","3.2","5.2","1.8","6.5","3.9","Stable"
"Romania","2017","136th","50.9","3","5.4","6.8","4.7","4.2","4.5","5.2","3.8","3.7","3.2","2.8","3.6","Stable"
"Panama","2017","137th","50.7","5.4","2.2","5.6","2.6","7.4","4.6","3.2","4.8","4.3","4.9","3","2.7","Stable"
"Croatia","2017","138th","50.6","3.5","4.4","5.8","5.3","3.3","4.7","2.9","2.4","3.6","3.1","7","4.6","Stable"
"Barbados","2017","139th","49.6","4.4","4.2","4.1","5.9","4.6","5.4","2.5","2.7","2.9","4.4","2.5","6","Stable"
"Argentina","2017","140th","48.2","4.3","2.8","5","4.3","5.4","3","4.8","3.8","4.1","3.8","2.3","4.6","Stable"
"Latvia","2017","141st","46.4","3","4.3","8","3.5","4.1","4.8","3.4","2.9","2.8","2.9","2.8","3.9","Stable"
"Italy","2017","142nd","45.2","4.5","4.9","4.8","5.4","2.9","2","3.7","2.7","2","4.3","5.5","2.5","Stable"
"Estonia","2017","143rd","44.7","3.3","5.9","7.3","3.5","3.2","4","2.7","2.9","1.7","2.8","3.1","4.3","Stable"
"Slovak Republic","2017","144th","44.3","1.8","4.7","6.9","4.6","3.5","4.2","4.3","2.4","2.5","2.3","3.8","3.3","Stable"
"Costa Rica","2017","145th","44.1","3.6","3.8","4.2","4","5.3","4.1","2.4","3.9","1.5","3.3","3.9","4.1","Stable"
"Qatar","2017","146th","44","2.6","5","4.6","2.1","4.7","2.6","6.3","1.3","6.3","3.8","2","2.7","Stable"
"United Arab Emirates","2017","147th","43.7","3.1","3.6","3.4","2.4","3.4","2.5","6.7","2.2","7.8","4","2.2","2.4","Stable"
"Lithuania","2017","148th","41.7","3.1","3","4.4","4.5","4.5","4.4","2.7","3.5","2.5","2.8","2.3","4","Stable"
"Mauritius","2017","148th","41.7","2.3","3.2","3.6","4","3.5","4.4","3","3.3","3.4","3.6","2.7","4.7","Stable"
"Chile","2017","150th","41.1","3.2","2.2","3.6","3.2","5.7","3.8","3.3","4","3","4.9","2.1","2.1","Stable"
"Poland","2017","151st","40.8","1.8","4.2","5.4","3.6","3","4.5","3.3","2.3","3.2","3","3.6","2.9","Stable"
"Czech Republic","2017","152nd","40.1","2.6","5","4.8","4.6","2.7","2.8","4.7","2.6","2.4","1.4","3.8","2.7","Stable"
"Malta","2017","153rd","38.6","3.6","2","3.9","4","2.6","3.7","3.6","2","3","2.5","4.4","3.3","Stable"
"South Korea","2017","154th","38.1","2.1","4.3","2.9","2","3","3.9","4.4","1.9","2.9","3.1","2","5.6","Stable"
"Spain","2017","155th","37.9","2.8","6.3","5.7","5.2","3.5","1.9","2.8","2.2","1.8","2","1.9","1.8","Stable"
"Japan","2017","156th","37.4","1.6","2.6","3.7","4.1","1.6","3.2","1.2","2.2","3","6","4.4","3.8","Stable"
"Uruguay","2017","157th","36.8","3.8","2.7","2.5","3.6","4.1","4.4","1","2.9","2.8","3.8","2.5","2.7","Stable"
"United States","2017","158th","35.6","3.2","5.3","6","2.4","4.3","1.7","1.9","1.6","3.2","2.8","2","1.2","Stable"
"France","2017","159th","33.5","3.3","1.9","7","4.3","3.2","2.2","1.3","1.1","2.1","2.8","2.5","1.8","Stable"
"United Kingdom","2017","160th","33.2","2.7","4.5","6.4","3.6","3.6","2.1","1.5","1.6","1.7","2.4","2.1","1","Stable"
"Singapore","2017","161st","32.5","1.6","4","2.6","2","3.8","3.3","3.9","1.3","4.6","2.5","1.7","1.2","Stable"
"Slovenia","2017","162nd","32.4","1.6","1.7","4.5","3.8","3.4","3.1","2.7","1.5","1.5","2.3","4","2.3","Stable"
"Belgium","2017","163rd","30.8","2.4","4.4","4.9","4.2","2.7","1.6","1.4","2.3","1.5","2","2.4","1","Stable"
"Portugal","2017","164th","29","1.3","2.5","2.5","5.3","2.5","2.2","1.6","2.2","1.8","2.1","2.2","2.8","Sustainable"
"Germany","2017","165th","28.1","2.1","2.3","5","2.2","2.8","2.1","1","1.1","1.1","2","5.4","1","Sustainable"
"Austria","2017","166th","27.7","1","3.2","4.5","2.2","2.9","1.5","1.4","1.1","1.2","1.9","5.6","1.2","Sustainable"
