"Country","Year","Rank","Total","C1: Security Apparatus","C2: Factionalized Elites","C3: Group Grievance","E1: Economy","E2: Economic Inequality","E3: Human Flight and Brain Drain","P1: State Legitimacy","P2: Public Services","P3: Human Rights","S1: Demographic Pressures","S2: Refugees and IDPs","X1: External Intervention","Education(Mean years of schooling","Health(Current health expenditure (% of GDP)","Unemployment","Population growth","Corruption","Human Development Index","Fragile State Index"
"Georgia","2017","79th","114.6","6.8","9.1","7.9","5.5","5.5","4.9","8.3","4.3","5.6","3.7","7.5","7.4","12.8","7.6","13.9","0","3.1","0.7","Alert"
"Malawi","2017","44th","114.3","4.8","8.1","5.6","8.4","8.3","7.9","6.4","8.6","6.2","9.7","5.8","8.2","6.1","9.6","5.7","2.7","1.85","0.4","Alert"
"Djibouti","2017","41st","114.1","6.5","7.3","6.5","7","7.9","5.4","8.2","7.9","7.8","8.4","7.3","8.7","4.1","3.3","10.4","1.6","5.32","0.5","Alert"
"Cameroon","2017","26th","114","7.9","9.1","8.3","6.6","7.6","7.6","8.4","8.7","7.5","8.1","8","7.8","6.2","4.7","3.4","1.2","2.43","0.5","Alert"
"Timor-Leste","2017","35th","113.4","7.2","8.3","6.5","7.9","6.8","7.6","6.9","8.5","5.3","9.7","6.3","9.5","4.5","3.9","9.5","2.5","2.03","0.5","Alert"
"Namibia","2017","103rd","113.2","5.5","3.5","5.8","6.8","8.2","7.1","3.3","7.4","3.8","7.6","5","6.4","6.9","8.6","21.6","1.9","3.22","0.6","Alert"
"Ethiopia","2017","15th","113.1","8.4","8.7","9.1","7","6.5","7.6","8.2","8.8","9","9.8","9.3","8.7","2.8","3.5","2.1","1","2.21","0.4","Alert"
"Cote d'Ivoire","2017","21st","112.8","7.7","9.1","8.1","6.6","8","7.3","7.9","8.7","7.9","8.2","7.8","9.2","5.2","4.5","3.3","1","2.03","0.3","Alert"
"Comoros","2017","52nd","112.4","6.7","8","5.4","8","7.5","7.4","7.3","8.2","6.3","7.3","4.7","8","4.9","7.4","4.4","1.5","8.87","0.5","Alert"
"Uzbekistan","2017","63rd","112","7.1","8.8","7.1","6.3","6.9","6","9.5","4.9","9.2","5.6","5.5","4.6","11.7","6.4","6.4","2.5","2.67","0.8","Alert"
"Angola","2017","32nd","111.2","6.5","7.2","7.5","6.4","9.9","6.6","8.6","9.1","7.3","9.5","7.1","5.4","5.1","2.8","7.1","3.3","1.28","0.5","Alert"
"Zambia","2017","46th","110.3","4.6","6.2","5.9","7.9","9.2","7.9","7.7","7.9","7.4","9.5","6.4","7.2","7.1","4.5","4.5","3","2.78","0.6","Alert"
"Swaziland","2017","42nd","110.1","6.3","6.8","3.4","9.7","8.2","7.2","8.8","8.1","9.1","9.4","4.7","7.1","10.4","5.6","2.1","0","2.27","0.9","Alert"
"Russia","2017","67th","109.8","8.9","8.1","8.8","5.2","6.2","4","8.5","4.2","9.2","4.6","5.8","5.7","12","5.3","5.2","1.3","6","0.8","Alert"
"Turkey","2017","64th","109.1","8.3","9.1","10","4.6","5.7","3.9","7.6","4.4","7.7","4.9","9.2","5.4","8","4.2","7.9","3.8","3.73","0.7","Alert"
"Gabon","2017","91st","109","5.2","7.4","3.8","5.5","6.5","6.1","8.2","6.7","7.5","6.7","4.5","5.7","8.3","2.8","20","0.3","3.22","0.6","Alert"
"Israel and West Bank","2017","69th","108.5","6.9","8.1","10","3.8","6.8","3.8","6.4","4.8","7.5","6","7.3","7.5","13","7.4","4.2","1.9","2.19","0.9","Alert"
"Algeria","2017","77th","108.2","7.2","7.1","7.1","6.6","6.6","5.8","6.9","6","6.6","5.2","6.8","4.9","8","6.4","12","2","2.32","0.7","Alert"
"Mozambique","2017","40th","108.2","6.7","6.6","5.4","8","8.8","8","6.5","9.7","5.6","9.9","5.8","8","5.5","4.9","1.6","2.9","3.91","0.4","Alert"
"Burkina Faso","2017","44th","108.1","8.4","7.8","4.5","6.3","8.2","7.5","7.1","8.7","6.1","9.3","6.6","7.5","1.5","6.9","6.2","2.9","2.18","0.4","Alert"
"Myanmar","2017","35th","107.7","8.9","8.3","9.7","5.9","7.7","6.4","8.6","8.5","8.9","6.8","8.7","7.3","3.4","4.7","1.6","0.6","1.2","0.5","Alert"
"Serbia","2017","107th","107.7","5.5","8","7.3","6.4","4.8","5.3","5.2","4.2","4.4","4.3","8.4","6.2","11.1","8.4","13.5","1.2","2.8","0.7","Alert"
"Colombia","2017","69th","107.2","6.9","7.6","7.3","4.2","7.6","6.2","6.3","5.9","7","6.2","7.7","6","8.3","7.2","8.9","0.6","2.77","0.5","Alert"
"Sri Lanka","2017","47th","107.1","7.4","8.8","9","5.4","7.1","7.7","6.9","5.1","8.3","6.2","8.4","6.3","10.6","3.8","2","1.1","2.31","0.7","Alert"
"Bangladesh","2017","39th","106.8","7.6","9.3","8.7","5.8","6.7","7.8","7.8","8.1","7.4","7.5","6.6","5.8","6.1","2.3","4.4","1.1","3.19","0.6","Alert"
